,OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST
243834,243835,12240124732104772910,12,0,54,0,2024,1,9,4,2,5,3,0,1,1,1,0,0,0,0,"775401,031999999657273","5814405,877800000831485",13.049629637000066,52.410422296000036,1
243870,243871,12240117732123766910,12,0,54,0,2024,1,7,4,3,5,1,0,0,1,1,0,0,0,0,"778632,740100000053644","5812180,684100000187755",13.095168286000046,52.38883283500007,1
243901,243902,12240114732107785250,12,0,54,0,2024,1,7,1,3,5,2,0,1,1,1,0,0,0,0,"772839,022599999792874","5813134,394799999892712",13.011021301000028,52.400302252000074,1
243951,243952,12240107732124735470,12,0,54,0,2024,1,15,1,3,0,1,0,2,1,0,0,0,0,0,"781528,383000000379980","5812085,161399999633431",13.137526585000046,52.38649596400006,1
243952,243953,12240107732108735390,12,0,54,0,2024,1,13,1,3,0,1,0,2,1,0,0,0,0,0,"773025,928799999877810","5812475,407500000670552",13.013224649000051,52.394299112000056,1
243954,243955,12240106732103734090,12,0,54,0,2024,1,18,7,3,5,3,2,2,1,0,0,1,0,0,"774181,042999999597669","5814586,303600000217557",13.031886438000072,52.41265278800006,1
243961,243962,12240104732106725050,12,0,54,0,2024,1,12,5,3,5,3,0,0,1,1,0,0,0,0,"770129,855200000107288","5813772,613700000569224",12.971812883000041,52.40736942500007,1
243973,243974,12240101732110729750,12,0,54,0,2024,1,12,2,3,0,5,0,0,1,1,0,0,0,0,"776007,699599999934435","5813612,356899999082088",13.057871996000074,52.40300063400008,1
244161,244162,12240125732129775490,12,0,54,0,2024,1,18,5,3,1,6,2,0,1,1,0,0,0,0,"778608,992100000381470","5811250,436300000175834",13.094047184000033,52.38050300700007,1
244485,244486,12240222732124822720,12,0,54,0,2024,2,9,5,3,0,7,0,1,1,0,0,0,0,0,"780719,578999999910593","5811066,953999999910593",13.124820942000042,52.37778063800005,1
244761,244762,12240107732121735440,12,0,54,0,2024,1,15,1,3,0,1,0,2,1,0,0,0,0,0,"781528,638000000268221","5812085,523399999365211",13.137530626000057,52.38649907900003,1
244775,244776,12240615732110054550,12,0,54,0,2024,6,8,7,2,5,2,0,1,1,1,0,0,0,0,"775746,966699999757111","5813573,526799999177456",13.054017144000056,52.40278377800007,1
244782,244783,12240614732123052640,12,0,54,0,2024,6,7,6,3,5,3,0,0,1,0,0,0,0,1,"779910,685499999672174","5810530,984699999913573",13.112521313000059,52.373388212000066,1
244783,244784,12240614732111053510,12,0,54,0,2024,6,18,6,3,4,6,0,1,1,0,0,0,0,0,"776282,471199999563396","5812650,460599999874830",13.061107366000044,52.394236017000026,1
244784,244785,12240614732105053050,12,0,54,0,2024,6,13,6,3,3,5,0,1,1,1,0,0,0,0,"776362,708999999798834","5814663,258099999278784",13.063944547000062,52.41224574900008,1
